Date,Market Cap,Total Debt,Tax Rate
2019-01-02,6993.912224681091,1440.0,0.16
2019-01-03,6993.912224681091,1440.0,0.16
2019-01-04,6993.912224681091,1440.0,0.16
2019-01-07,6993.912224681091,1440.0,0.16
2019-01-08,7090.555527322388,1440.0,0.16
2019-01-09,7169.784890528869,1440.0,0.16
2019-01-10,7156.723710734558,1440.0,0.16
2019-01-11,7145.4074059310915,1440.0,0.16
2019-01-14,7119.284321124268,1440.0,0.16
2019-01-15,7117.5474235336305,1440.0,0.16
2019-01-16,7053.118313366699,1440.0,0.16
2019-01-17,7118.415509719849,1440.0,0.16
2019-01-18,7270.778777156067,1440.0,0.16
2019-01-22,7154.983187052918,1440.0,0.16
2019-01-23,7176.749160910034,1440.0,0.16
2019-01-24,7226.376567601013,1440.0,0.16
2019-01-25,7329.985591059875,1440.0,0.16
2019-01-28,7337.820848500061,1440.0,0.16
2019-01-29,7403.119495289612,1440.0,0.16
2019-01-30,7479.73517210083,1440.0,0.16
2019-01-31,7475.379511587525,1440.0,0.16
2019-02-01,7552.867625894165,1440.0,0.16
2019-02-04,7599.012534785462,1440.0,0.16
2019-02-05,7757.471986416626,1440.0,0.16
2019-02-06,7804.484981494141,1440.0,0.16
2019-02-07,7900.258022294617,1440.0,0.16
2019-02-08,7956.84969936676,1440.0,0.16
2019-02-11,7967.2957423294065,1440.0,0.16
2019-02-12,8100.5052718673705,1440.0,0.16
2019-02-13,8164.064120193481,1440.0,0.16
2019-02-14,7982.100346678161,1440.0,0.16
2019-02-15,7971.650677624511,1440.0,0.16
2019-02-19,7663.442370170594,1440.0,0.16
2019-02-20,7609.213381668946,1440.0,0.16
2019-02-21,7633.440518386718,1440.0,0.16
2019-02-22,7760.621815930176,1440.0,0.16
2019-02-25,7674.102298832519,1440.0,0.16
2019-02-26,7668.912107903809,1440.0,0.16
2019-02-27,7823.779708571289,1440.0,0.16
2019-02-28,7783.115045486817,1440.0,0.16
2019-03-01,7890.396046958985,1440.0,0.16
2019-03-04,7803.015341558105,1440.0,0.16
